Group 3,12:50,Round 1,,GVSU Meadows - Blue,,,,,,,,,,,Round 1,,GVSU Meadows - Blue,,,,,,,,,,
Handi:,2-Man Best Ball,,Handi:,2,8,14,12,6,18,10,4,16,,,Handi:,13,3,9,15,11,5,7,17,1,,,
Par:,,,Par:,4,4,3,5,4,4,3,4,5,36,,Par:,4,4,4,3,5,4,4,3,4,35,71,
Hole:,Team,Tee HCP,Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,Total Gross,"Total
Net"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
KJ,Drivers,10,0,4,5,3,7,5,4,4,5,8,45,,KJ,4,4,5,4,6,3,5,3,6,40,85,75
,,,,O,,,,,,,O,,,,,,O,,,,O,,,O,,,
,,,,1,0,0,0,0,0,0,1,0,,,,0,1,0,0,0,1,0,0,1,,,
Weezy,Drivers,15,5,6,4,4,7,4,6,3,5,5,44,,Weezy,5,4,4,6,7,4,6,5,5,46,90,75
,,,,O,,,,,,,,,,,,,,,,,,,,O,,,
,,,,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,1,,,
House,Irons,12,2,4,5,3,6,6,4,4,4,5,41,,House,5,6,4,4,6,6,5,4,5,45,86,74
,,,,O,O,,,O,,,O,,,,,,O,O,,,O,O,,O,,,
,,,,1,1,0,0,1,0,0,1,0,,,,0,1,1,0,0,1,1,0,1,,,
Carp,Irons,19,9,4,9,5,10,6,5,5,8,7,59,,Carp,6,6,7,7,6,5,7,4,4,52,111,92
,,,,,,,,,,,,,Front,,,,,,,,,,,,,,Cup Pts
Drivers Status,Match - Front,,,-1,0,0,-1,0,0,1,1,1,1,,Match - Overall,2,3,3,3,3,4,4,5,4,2,Overall,4
,,,,,,,,,,,,,,,Match - Back,1,2,2,2,2,3,3,4,3,1,Back,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hole,Holes,Point
,Match,,,-1,1,0,-1,1,0,1,0,0,,,,1,1,0,0,0,1,0,1,-1,Contr,Won,Share
,Drivers,,,0,1,0.5,0,1,0.5,1,0.5,0.5,5,,,1,1,0.5,0.5,0.5,1,0.5,1,0,6,11,
KJ,,,,1,0,1,0.5,0,1,0,0,0,,,,1,0,0,1,1,0.5,1,1,0,9,5,1.78
Weezy,,,,0,1,0,0.5,1,0,1,1,1,,,,0,1,1,0,0,0.5,0,0,1,9,6,2.22
,Irons,,,1,0,0.5,1,0,0.5,0,0.5,0.5,4,,,0,0,0.5,0.5,0.5,0,0.5,0,1,3,7,
House,,,,0.5,1,1,1,0,1,1,1,1,,,,1,0,1,1,0.5,0,1,0.5,0,12.5,5.25,0.00
Carp,,,,0.5,0,0,0,1,0,0,0,0,,,,0,1,0,0,0.5,1,0,0.5,1,5.5,1.75,0.00
,,,,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,36,,
