Group 1,12:30,Round 1,,GVSU Meadows - Blue,,,,,,,,,,,Round 1,,GVSU Meadows - Blue,,,,,,,,,,
Handi:,2-Man Best Ball,,Handi:,2,8,14,12,6,18,10,4,16,,,Handi:,13,3,9,15,11,5,7,17,1,,,
Par:,,,Par:,4,4,3,5,4,4,3,4,5,36,,Par:,4,4,4,3,5,4,4,3,4,35,71,
Hole:,Team,Tee HCP,Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,Total Gross,"Total
Net"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,O,,,,O,,,O,,,,,,O,,,,O,,,O,,,
,,,,1,0,0,0,1,0,0,1,0,,,,0,1,0,0,0,1,0,0,1,,,
TJSC,Drivers,15,6,7,5,4,6,4,5,4,6,7,48,,TJSC,4,5,4,5,7,5,5,4,4,43,91,76
,,,,O,O,,,O,,,O,,,,,,O,,,,O,O,,O,,,
,,,,1,1,0,0,1,0,0,1,0,,,,0,1,0,0,0,1,1,0,1,,,
Joe O,Drivers,17,8,7,6,4,6,7,7,5,6,6,54,,Joe O,5,6,5,5,5,4,11,5,8,54,108,91
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
CuzNick,Irons,9,0,5,5,3,4,4,5,4,3,5,38,,CuzNick,4,6,4,3,5,5,4,4,5,40,78,69
,,,,O   O,O   O,O,O,O   O,O,O,O   O,O,,,,O,O   O,O   O,O,O,O   O,O   O,O,O   O,,,
,,,,2,2,1,1,2,1,1,2,1,,,,1,2,2,1,1,2,2,1,2,,,
Saugy,Irons,36,27,7,6,3,10,7,5,4,6,6,54,,Saugy,5,6,6,4,6,9,9,3,9,57,111,75
,,,,,,,,,,,,,Front,,,,,,,,,,,,,,Cup Pts
Drivers Status,Match - Front,,,-1,-2,-3,-4,-3,-4,-5,-6,-7,0,,Match - Overall,-7,-7,-7,-8,-8,-7,-8,-9,-8,0,Overall,0
,,,,,,,,,,,,,,,Match - Back,0,0,0,-1,-1,0,-1,-2,-1,0,Back,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hole,Holes,Point
,Match,,,-1,-1,-1,-1,1,-1,-1,-1,-1,,,,0,0,0,-1,0,1,-1,-1,1,Contr,Won,Share
,Drivers,,,0,0,0,0,1,0,0,0,0,1,,,0.5,0.5,0.5,0,0.5,1,0,0,1,4,5,
TJSC,,,,0.5,0.5,0.5,0.5,1,1,1,0.5,0,,,,1,1,1,0.5,0,0,1,1,1,12,3.5,0.00
Joe O,,,,0.5,0.5,0.5,0.5,0,0,0,0.5,1,,,,0,0,0,0.5,1,1,0,0,0,6,1.5,0.00
,Irons,,,1,1,1,1,0,1,1,1,1,8,,,0.5,0.5,0.5,1,0.5,0,1,1,0,5,13,
CuzNick,,,,0.5,0,0,1,1,0,0,1,0.5,,,,0.5,0,0.5,0.5,0.5,1,1,0,1,9,5.25,1.63
Saugy,,,,0.5,1,1,0,0,1,1,0,0.5,,,,0.5,1,0.5,0.5,0.5,0,0,1,0,9,7.75,2.37
,,,,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,36,,
