Group 2,10:20,Round 4,,The Bear - White,,,,,,,,,,,Round 4 - Group 2,,,,,The Bear - White,,,,,,,
Hole:,Team Best Ball,,Hole:,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,TOTAL,NET
Handicap:,,,Handicap:,11,3,15,13,1,17,5,7,9,,,Handi:,18,4,6,12,16,14,2,8,10,,,
Par:,,,Par:,4,4,5,3,4,5,4,4,3,36,,Par:,5,4,4,3,4,5,4,3,4,36,72,
Player,Team,Tee HCP,Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Player,10,11,12,13,14,15,16,17,18,IN,Total Gross,Total Net
,,,,O,O,,O,O,,O,O,O,,,,,O,O,O,,O,O,O,O,,,
,,,,1,1,0,1,1,0,1,1,1,,,,0,1,1,1,0,1,1,1,1,,,
TJSC,TEES,14,14,5,6,6,6,4,5,6,5,4,47,,TJSC,5,6,6,4,6,7,6,4,5,49,96,82
,,,,,O,,,O,,O,O,O,,,,,O,O,,,,O,O,O,,,
,,,,0,1,0,0,1,0,1,1,1,,,,0,1,1,0,0,0,1,1,1,,,
CuzNick,TEES,10,10,5,5,5,4,5,6,4,5,3,42,,CuzNick,5,4,5,3,7,5,5,5,8,47,89,79
,,,,O,O,O,O,O,,O,O,O,,,,,O,O,O,O,O,O,O,O,,,
,,,,1,1,1,1,1,0,1,1,1,,,,0,1,1,1,1,1,1,1,1,,,
DK,TEES,16,16,5,5,6,5,6,4,6,4,4,45,,DK,4,7,4,4,5,6,4,5,5,44,89,73
,,,,,O,,,O,,O,O,O,,,,,O,O,,,,O,O,,,,
,,,,0,1,0,0,1,0,1,1,1,,,,0,1,1,0,0,0,1,1,0,,,
R-Mac,TEES,9,9,4,5,8,4,7,6,5,5,4,48,,R-Mac,5,5,5,4,5,5,4,4,4,41,89,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contr / Hole,,,,3,3,3,3,3,3,4,4,4,,,Contr / Hole,4,4,4,5,5,5,5,5,5,,Set count of,
"Team
Avg",,,,3.33,3.33,4.33,3.00,3.33,4.67,4.25,3.25,2.50,,,"Team
Avg",4.75,3.25,3.50,2.80,5.00,4.80,3.60,3.60,3.60,,Contribs/Hole,
Team Rel Net,,,,-2,-2,-2,0,-2,-1,1,-3,-2,,,Team Rel Net,-1,-3,-2,-1,5,-1,-2,3,-2,,in Card 1 row 23,
,,,,,,,,,,,,,,,,,,,,,,,,,Hole,Holes,Point
Team Score,Team Score,,,10,10,13,9,10,14,17,13,10,,,Team Score,19,13,14,14,25,24,18,18,18,Contr,Won,Share
,TEES,,,1,0.5,1,0.5,0,0.5,0,1,0,,,,0,2,0,0,0,2,0,0,2,,,10.5
TJSC,,,,0.50,0.00,0.00,0.00,1.00,0.67,0.40,0.33,0.40,,,,0.60,0.00,0.00,1.00,0.67,0.00,0.00,1.00,1.00,7.57,2.17,1.10
CuzNick,,,,0.00,0.25,0.25,0.00,0.50,0.00,1.00,0.33,1.00,,,,0.60,1.00,0.67,1.00,0.00,1.00,1.00,1.00,0.00,9.60,2.71,1.40
DK,,,,0.50,0.25,0.25,0.00,0.00,1.00,0.40,1.00,0.40,,,,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,11.80,4.38,1.72
R-Mac,,,,0.50,0.25,0.00,0.00,0.00,0.00,1.00,0.33,0.40,,,,0.60,0.50,0.67,0.00,1.00,1.00,1.00,1.00,1.00,9.25,3.46,1.35
,,,,,,,,,,,,,,,,,,,,,,,,,38.22,,
TJSC,,,,0.17,0.00,0.00,0.00,0.00,0.11,0.00,0.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,,,10.5%
CuzNick,,,,0.00,0.04,0.08,0.00,0.00,0.00,0.00,0.08,0.00,,,,0.00,0.50,0.00,0.00,0.00,0.40,0.00,0.00,0.00,,,13.3%
DK,,,,0.17,0.04,0.08,0.00,0.00,0.17,0.00,0.25,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.40,,,16.4%
R-Mac,,,,0.17,0.04,0.00,0.00,0.00,0.00,0.00,0.08,0.00,,,,0.00,0.25,0.00,0.00,0.00,0.40,0.00,0.00,0.40,,,12.8%
