Rd 3 G2,1:39,Quail Ridge - Blue,,,,,,,,,,,,,Rd 3 G2,1:39,Quail Ridge - Blue,,,,,,,,,,
Handi:,2-Man Scramble,,Handi:,11,17,5,13,1,9,3,7,15,,,Handi:,4,14,2,8,10,12,16,18,6,,,
Par:,,,Par:,4,4,5,3,5,4,4,4,3,36,,Par:,5,4,4,4,4,3,4,3,5,36,72,
Hole:,Team,"35%
15%",Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,Total Gross,"Total
Net"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
Telly,Shot Callers,4.5,0,4,3,5,4,5,3,3,4,3,34,,Telly,4,5,3,4,4,3,3,2,4,32,66,61.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
CuzNick,Shot Callers,4.5,0,4,3,5,4,5,3,3,4,3,34,,CuzNick,4,5,3,4,4,3,3,2,4,32,66,61.5
,,,,,,,,O,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
KJ,Mash Brothers,5.3,1,4,4,5,3,5,4,3,5,4,37,,KJ,5,5,4,4,4,3,4,3,5,37,74,68.7
,,,,,,,,O,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
TJSC,Mash Brothers,5.3,1,4,4,5,3,5,4,3,5,4,37,,TJSC,5,5,4,4,4,3,4,3,5,37,74,68.7
,,,,,,,,,,,,,Front,,,,,,,,,,,,,,Cup Pts
Shot Callers Status,Match - Front,,,0,1,1,0,-1,0,0,1,2,1,,Match - Overall,3,3,4,4,4,4,5,6,7,2,"<-Overall

Shot Callers->",4
,,,,,,,,,,,,,0,,Match - Back,1,1,2,2,2,2,3,4,5,1,"<-Back

Mash Brothers->",0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hole,Holes,Point
,Match,,,0,1,0,-1,-1,1,0,1,1,,,,1,0,1,0,0,0,1,1,1,Contr,Won,Share
,Shot Callers,,,0.5,1,0.5,0,0,1,0.5,1,1,5.5,,,1,0.5,1,0.5,0.5,0.5,1,1,1,7,12.5,
Telly,,,,0.25,0.5,0.25,0,0,0.5,0.25,0.5,0.5,2.75,,,0.5,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.5,3.5,6.25,2.00
CuzNick,,,,0.25,0.5,0.25,0,0,0.5,0.25,0.5,0.5,2.75,,,0.5,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.5,3.5,6.25,2.00
,Mash Brothers,,,0.5,0,0.5,1,1,0,0.5,0,0,3.5,,,0,0.5,0,0.5,0.5,0.5,0,0,0,2,5.5,
KJ,,,,0.25,0,0.25,0.5,0.5,0,0.25,0,0,1.75,,,0,0.25,0,0.25,0.25,0.25,0,0,0,1,2.75,0.00
TJSC,,,,0.25,0,0.25,0.5,0.5,0,0.25,0,0,1.75,,,0,0.25,0,0.25,0.25,0.25,0,0,0,1,2.75,0.00
,,,,1,1,1,1,1,1,1,1,1,9,,,1,1,1,1,1,1,1,1,1,9,18,
