Rd 1 G3,1:20,Kaufman - White,,,,,,,,,,,,,Rd 1 G3,1:20,Kaufman - White,,,,,,,,,,
Handi:,Double Dot,,Handi:,13,3,9,17,5,11,1,15,7,,,Handi:,6,16,14,18,2,8,12,10,4,,,
Par:,,,Par:,4,5,4,3,4,4,5,3,4,36,,Par:,4,4,5,3,4,4,5,3,4,36,72,
Hole:,Team,Tee HCP,Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,Total Gross,"Total
Net"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,O,,,,,,,,,,O,,,,,,,
,,,,0,0,0,0,0,0,1,0,0,,,,0,0,0,0,1,0,0,0,0,,,
Pace,Shot Callers,11,2,5,6,4,3,4,4,5,4,5,40,,Pace,7,4,5,4,5,6,4,3,5,43,83,72
,,,,O,O   O,O,O,O,O,O   O,O,O,,,,O,O,O,O,O   O,O,O,O,O   O,,,
,,,,1,2,1,1,1,1,2,1,1,,,,1,1,1,1,2,1,1,1,2,,,
Saugy,Shot Callers,31,22,6,6,5,4,5,5,6,4,6,47,,Saugy,5,5,7,4,5,5,6,4,5,46,93,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
R-Mac,Mash Brothers,9,0,4,6,4,3,5,5,7,5,6,45,,R-Mac,6,5,6,4,4,4,6,4,5,44,89,80
,,,,,,,,,,O,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,0,,,
House,Mash Brothers,10,1,4,5,4,4,6,5,5,4,5,42,,House,6,4,6,5,4,4,5,4,4,42,84,74
,,,,,,,,,,,,Dots:,Front,,,,,,,,,,,Dots:,Back,Overall,
,Shot Callers,,,,1,,1,2,2,1,2,1,10,,Shot Callers,1,1,1,2,1,,2,2,1,11,21,
,Mash Brothers,,,2,,,,,,,,,2,,Mash Brothers,1,,,,,1,,,,2,4,Total
,,,,,,,,,,,,Shot Callers Pts,1,,,,,,,,,,,Shot Callers Pts,1,2,4
,,,,,,,,,,,,Mash Brothers Pts,0,,,,,,,,,,,Mash Brothers Pts,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,Hole,Point
,Shot Callers,,,-2,1,0,1,2,2,1,2,1,,,,0,1,1,2,1,-1,2,2,1,,Contr,Share
,Hi,,,-1,1,0,0,1,1,0,1,0,,,,1,0,1,1,1,0,1,1,1,,0,
,Lo,,,-1,0,0,1,1,1,1,1,1,,,,-1,1,0,1,0,-1,1,1,0,,0,
Pace,,,,0.25,0.25,0.5,0.625,0.75,0.75,0.625,0.5,0.625,4.875,,,0,0.625,1,0.5,0.25,0,1,0.75,0.25,4.375,9.25,1.66
Saugy,,,,0.25,1,0.5,0.625,0.75,0.75,0.625,1,0.625,6.125,,,1,0.625,0.25,1,1,0.75,0.5,0.75,1,6.875,13,2.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-Mac,,,,0.75,0.25,0.5,0.75,0.5,0.25,0,0,0,3,,,0.5,0,0.375,0.5,0.375,0.625,0,0.25,0.25,2.875,5.875,0.00
House,,,,0.75,0.5,0.5,0,0,0.25,0.75,0.5,0.75,4,,,0.5,0.75,0.375,0,0.375,0.625,0.5,0.25,0.5,3.875,7.875,0.00
,QA Test,,,2,2,2,2,2,2,2,2,2,18,,,2,2,2,2,2,2,2,2,2,18,36,4.00
